NODE_1_length_187_cov_1.438503	LR597560.1	82.051	195	20	6	3	188	28803650	28803838	5.33e-33	152	Eukaryota	Myripristis murdjan genome assembly, chromosome: 11	586833	Myripristis murdjan	pinecone soldierfish	bony fishes
NODE_8_length_279_cov_1.487455	AB601475.1	82.759	319	55	0	3	321	7817	8135	7.38e-73	285	Eukaryota	Haplochromis chilotes DNA, contains part of LINE:Maui, SINE:SINE AFC, transposon:hAT-N49 DR, retrotransposon:Gypsy151-I DR, retrotransposon:Gypsy149-I DR, retrotransposon:BEL32-LTR DR, clone: 180O20	257977	Haplochromis chilotes	Haplochromis chilotes	bony fishes
NODE_9_length_165_cov_1.981818	LR535843.1	83.217	143	23	1	60	202	17319365	17319506	2.22e-26	130	Eukaryota	Mastacembelus armatus genome assembly, chromosome: 11	205130	Mastacembelus armatus	zig-zag eel	bony fishes
NODE_10_length_317_cov_1.160883	XM_025908212.1	82.203	118	13	7	27	143	845	955	1.51e-15	95.3	Eukaryota	PREDICTED: Oreochromis niloticus endonuclease V (endov), transcript variant X12, mRNA	8128	Oreochromis niloticus	Nile tilapia	bony fishes
NODE_12_length_202_cov_1.970297	XR_003213861.1	98.630	73	1	0	1	73	237	165	2.69e-26	130	Eukaryota	PREDICTED: Oreochromis niloticus uncharacterized LOC112842171 (LOC112842171), transcript variant X2, ncRNA	8128	Oreochromis niloticus	Nile tilapia	bony fishes
NODE_15_length_363_cov_1.146006	LT972192.1	83.578	341	46	9	1	338	25307391	25307058	1.57e-80	311	Eukaryota	Larimichthys crocea genome assembly, chromosome: III	215358	Larimichthys crocea	large yellow croaker	bony fishes
NODE_24_length_216_cov_2.138889	LR597573.1	86.531	245	31	2	4	247	32868452	32868695	5.80e-68	268	Eukaryota	Myripristis murdjan genome assembly, chromosome: 24	586833	Myripristis murdjan	pinecone soldierfish	bony fishes
NODE_24_length_216_cov_2.138889	LR597573.1	79.545	132	25	2	128	258	27419535	27419665	3.75e-15	93.5	Eukaryota	Myripristis murdjan genome assembly, chromosome: 24	586833	Myripristis murdjan	pinecone soldierfish	bony fishes
NODE_29_length_203_cov_1.487685	XR_001419023.1	96.735	245	7	1	1	245	98	341	1.11e-109	407	Eukaryota	PREDICTED: Poecilia mexicana uncharacterized LOC106921595 (LOC106921595), ncRNA	48701	Poecilia mexicana	Poecilia mexicana	bony fishes
NODE_32_length_300_cov_1.523333	LR131987.1	96.104	77	3	0	6	82	13114082	13114006	5.08e-25	126	Eukaryota	Gouania willdenowi genome assembly, chromosome: 15	441366	Gouania willdenowi	blunt-snouted clingfish	bony fishes
NODE_32_length_300_cov_1.523333	LR131987.1	96.104	77	3	0	6	82	13115559	13115483	5.08e-25	126	Eukaryota	Gouania willdenowi genome assembly, chromosome: 15	441366	Gouania willdenowi	blunt-snouted clingfish	bony fishes
NODE_32_length_300_cov_1.523333	LR131987.1	96.104	77	3	0	6	82	13116701	13116625	5.08e-25	126	Eukaryota	Gouania willdenowi genome assembly, chromosome: 15	441366	Gouania willdenowi	blunt-snouted clingfish	bony fishes
NODE_32_length_300_cov_1.523333	LR131987.1	96.104	77	3	0	6	82	13118359	13118283	5.08e-25	126	Eukaryota	Gouania willdenowi genome assembly, chromosome: 15	441366	Gouania willdenowi	blunt-snouted clingfish	bony fishes
NODE_32_length_300_cov_1.523333	LR131987.1	96.104	77	3	0	6	82	13121707	13121631	5.08e-25	126	Eukaryota	Gouania willdenowi genome assembly, chromosome: 15	441366	Gouania willdenowi	blunt-snouted clingfish	bony fishes
NODE_32_length_300_cov_1.523333	LR131987.1	96.104	77	3	0	6	82	13125100	13125024	5.08e-25	126	Eukaryota	Gouania willdenowi genome assembly, chromosome: 15	441366	Gouania willdenowi	blunt-snouted clingfish	bony fishes
NODE_33_length_222_cov_1.869369	XM_003454734.4	87.500	184	20	2	84	264	4822	4639	3.66e-50	209	Eukaryota	PREDICTED: Oreochromis niloticus cyclic nucleotide-gated channel cone photoreceptor subunit alpha (LOC100697819), mRNA	8128	Oreochromis niloticus	Nile tilapia	bony fishes
NODE_40_length_290_cov_1.417241	LR584078.1	82.353	153	23	2	3	153	796377	796227	3.80e-26	130	Eukaryota	Scleropages formosus genome assembly, chromosome: 13	113540	Scleropages formosus	Asian bonytongue	bony fishes
NODE_40_length_290_cov_1.417241	LR584078.1	82.468	154	21	4	3	153	4520281	4520431	3.80e-26	130	Eukaryota	Scleropages formosus genome assembly, chromosome: 13	113540	Scleropages formosus	Asian bonytongue	bony fishes
NODE_40_length_290_cov_1.417241	LR584078.1	82.192	146	22	2	3	146	564548	564405	6.36e-24	122	Eukaryota	Scleropages formosus genome assembly, chromosome: 13	113540	Scleropages formosus	Asian bonytongue	bony fishes
NODE_61_length_371_cov_1.115903	XM_003458979.5	95.489	133	6	0	90	222	1042	910	4.66e-51	213	Eukaryota	PREDICTED: Oreochromis niloticus UV radiation resistance associated (uvrag), mRNA	8128	Oreochromis niloticus	Nile tilapia	bony fishes
